"Type","Source","URL","Status","Working","Error"
"internal","css/main-7yRgCzeT.css","https://ziontechgroup.com/images/grid-pattern.svg","302","Yes",""
"internal","enterprise/index.html","https://app.ziontechgroup.com/enterprise","error","No","getaddrinfo ENOTFOUND app.ziontechgroup.com"
"internal","index.html","https://ziontechgroup.com/favicon.svg","200","Yes",""
"internal","index.html","https://ziontechgroup.com/","200","Yes",""
"internal","index.html","https://ziontechgroup.com/logo192.png","200","Yes",""
"internal","index.html","https://ziontechgroup.com/manifest.json","200","Yes",""
"internal","index.html","https://ziontechgroup.com/js/react-vendor-ClxMxoJB.js","200","Yes",""
"internal","index.html","https://ziontechgroup.com/js/router-vendor-DxZrTY7y.js","200","Yes",""
"internal","index.html","https://ziontechgroup.com/js/ui-vendor-CpP39n5M.js","200","Yes",""
"internal","index.html","https://ziontechgroup.com/js/utils-vendor-CrFdsnXa.js","200","Yes",""
"internal","index.html","https://ziontechgroup.com/css/main-7yRgCzeT.css","200","Yes",""
"internal","index.html","https://ziontechgroup.com/js/main-BPYGK_Co.js","200","Yes",""
"internal","request-quote/index.html","https://app.ziontechgroup.com/request-quote","error","No","getaddrinfo ENOTFOUND app.ziontechgroup.com"
"external","enterprise/index.html","https://fonts.googleapis.com","404","No",""
"external","enterprise/index.html","https://fonts.gstatic.com","404","No",""
"external","enterprise/index.html","https://fonts.googleapis.com/css2?family=Orbitron:wght@400;600&display=swap","200","Yes",""
"external","enterprise/index.html","https://drive.google.com/uc?export=view&id=0B0iuzhpa3pD7X0RzZ2lmclN3Ymc","303","Yes",""
"external","index.html","https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&display=swap","200","Yes",""
